@relation sentiment

@attribute "1,-1" numeric
@attribute "1,-2" numeric
@attribute "1,-3" numeric
@attribute "1,-4" numeric
@attribute "1,-5" numeric
@attribute "2,-1" numeric
@attribute "2,-2" numeric
@attribute "2,-3" numeric
@attribute "2,-4" numeric
@attribute "2,-5" numeric
@attribute "3,-1" numeric
@attribute "3,-2" numeric
@attribute "3,-3" numeric
@attribute "3,-4" numeric
@attribute "3,-5" numeric
@attribute "4,-1" numeric
@attribute "4,-2" numeric
@attribute "4,-3" numeric
@attribute "4,-4" numeric
@attribute "4,-5" numeric
@attribute "5,-1" numeric
@attribute "5,-2" numeric
@attribute "5,-3" numeric
@attribute "5,-4" numeric
@attribute "5,-5" numeric
@attribute classification {P, PE}

@data
23,1,0,0,0,3,3,0,0,0,7,3,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
17,1,0,0,0,4,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
14,2,0,0,0,7,2,0,0,0,7,3,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
14,0,0,0,0,4,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
26,3,0,1,0,7,1,0,0,0,8,2,0,0,0,3,0,0,0,0,0,0,0,0,0,PE
14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
13,1,0,0,0,3,0,0,0,0,6,3,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
44,4,1,0,0,11,1,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PE
11,9,3,0,0,5,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,PE
17,8,2,2,0,7,1,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
21,1,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
71,7,1,0,0,28,3,0,0,0,24,4,2,0,0,8,1,0,0,0,0,0,0,0,0,PE
11,1,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
16,1,0,0,0,10,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,PE
16,1,0,0,0,8,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
9,4,0,0,0,5,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
25,2,1,1,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
15,2,0,0,0,5,3,1,0,0,7,2,0,0,0,0,2,0,0,0,1,0,0,0,0,PE
41,1,1,0,0,13,0,0,0,0,12,3,1,0,0,2,0,0,0,0,0,0,0,0,0,PE
18,2,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
25,3,0,0,0,9,3,0,0,0,8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,PE
28,1,0,0,0,11,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
41,7,1,1,0,15,2,0,0,0,5,1,0,0,0,3,1,0,0,0,0,0,0,0,0,PE
17,1,0,0,0,6,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PE
29,4,0,0,0,3,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
12,0,0,0,0,6,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
25,0,0,0,0,5,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
15,3,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
16,1,0,0,0,5,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
44,4,1,0,0,11,1,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PE
19,2,0,0,0,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
29,5,0,0,0,7,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
96,10,8,3,0,33,3,2,0,0,14,2,0,0,0,6,2,0,1,0,0,0,0,0,0,PE
25,1,0,0,0,6,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
27,1,0,0,0,10,1,0,0,0,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,PE
19,1,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PE
29,4,1,0,0,10,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,PE
22,2,0,1,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
50,6,0,0,0,26,2,1,0,0,8,1,0,0,0,0,2,0,0,0,0,0,0,0,0,PE
15,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
18,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
21,0,0,0,0,8,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
11,2,0,0,0,6,4,0,0,0,8,3,0,0,0,0,1,0,0,0,0,0,0,0,0,PE
20,2,0,0,0,11,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
25,2,0,0,0,11,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
19,1,0,0,0,3,0,0,0,0,6,0,0,0,0,2,0,0,0,0,1,0,0,0,0,PE
71,7,1,0,0,27,3,0,0,0,24,4,2,0,0,8,1,0,0,0,0,0,0,0,0,PE
19,2,0,0,0,6,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,PE
35,7,1,0,0,19,1,0,0,0,11,1,1,0,0,2,1,1,0,0,0,0,0,0,0,PE
71,7,1,0,0,28,3,0,0,0,24,4,2,0,0,8,1,0,0,0,0,0,0,0,0,PE
17,2,0,0,0,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,PE
12,2,0,0,0,6,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
28,4,0,0,0,10,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
18,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,PE
78,5,0,0,0,32,2,0,1,0,13,2,0,0,0,4,1,0,0,0,0,0,0,0,0,PE
19,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
26,2,0,0,0,4,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,PE
30,7,1,3,0,15,4,0,3,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
16,3,0,0,0,6,1,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,PE
20,2,0,0,0,8,0,1,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
28,3,0,0,0,9,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
28,4,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
22,3,0,0,0,8,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,PE
20,0,1,2,0,8,3,0,0,0,7,0,0,0,0,3,0,0,0,0,1,0,0,0,0,PE
96,10,8,3,0,33,3,2,0,0,14,2,0,0,0,6,2,0,1,0,0,0,0,0,0,PE
27,1,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
32,1,0,1,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
30,1,0,0,0,13,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
9,5,0,0,0,3,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
21,4,0,0,0,11,1,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
31,2,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
17,4,0,0,0,16,1,0,0,0,9,4,0,0,0,1,0,0,0,0,1,0,0,0,0,PE
22,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
