@relation sentiment

@attribute "-5" numeric
@attribute "-4" numeric
@attribute "-3" numeric
@attribute "-2" numeric
@attribute "-1" numeric
@attribute "0" numeric
@attribute "1" numeric
@attribute "2" numeric
@attribute "3" numeric
@attribute "4" numeric
@attribute "5" numeric
@attribute classification {P, PE}

@data
0,0,0,4,0,878,0,8,1,1,0,PE
0,0,0,1,0,782,0,13,5,1,0,PE
0,0,0,16,0,1606,0,22,16,0,0,PE
0,1,0,7,0,1261,0,19,4,0,0,PE
0,0,0,4,0,1680,0,18,2,2,0,PE
0,0,0,3,0,756,0,7,11,3,0,PE
0,0,3,21,0,4332,0,56,38,10,0,PE
0,0,0,4,0,867,0,11,9,1,0,PE
0,0,3,13,0,2489,0,42,18,2,0,PE
0,0,3,21,0,4331,0,57,38,10,0,PE
0,0,1,4,0,934,0,10,2,1,0,PE
0,0,0,3,0,698,0,8,8,0,0,PE
0,0,0,8,0,1702,0,17,2,0,0,PE
0,0,0,9,0,906,0,12,2,2,0,PE
0,1,0,13,0,3890,0,55,17,4,0,PE
0,0,0,1,0,605,0,1,2,0,0,PE
0,0,0,7,0,969,0,12,4,2,0,PE
0,4,5,24,0,1280,0,29,5,1,0,PE
0,1,0,7,0,998,0,14,12,2,0,PE
0,0,2,9,0,1725,0,24,12,0,0,PE
0,0,0,5,0,1714,0,15,5,0,0,PE
0,0,0,6,0,949,0,10,2,0,0,PE
0,0,0,7,0,1333,0,15,3,3,0,PE
0,2,1,7,0,1677,0,12,10,6,0,PE
0,5,12,38,0,4777,0,62,22,9,0,PE
0,0,0,3,0,735,0,4,4,0,0,PE
0,2,0,6,0,1009,0,7,4,1,0,PE
0,0,0,4,0,990,0,17,2,0,0,PE
0,0,0,8,0,1090,0,8,4,1,0,PE
0,1,0,10,0,1398,0,20,7,2,0,PE
0,0,0,4,0,1769,0,18,2,0,0,PE
0,0,0,13,0,2159,0,23,23,1,0,PE
0,0,0,1,0,707,0,7,3,0,0,PE
0,2,1,8,0,2304,0,20,5,2,0,PE
0,0,1,9,0,1966,0,27,5,2,0,PE
0,0,0,7,0,939,0,12,10,5,0,PE
0,0,0,5,0,1620,0,14,0,0,0,PE
0,0,0,9,0,1836,0,16,2,0,0,PE
